,I,Z,C,O,F,I_in,C_bar,h,W
30,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.2586261216112795]","[0.3041362396912295, 0.8788441170720719, -0.15973176816150286, 0.9350069163952872]",[0.3861749406007077],[0.7180448641659529],[0.46017673414720817],[0.7065900523456016],[0.2951421937531076],[0.2642993808364142],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
31,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.26171168707014]","[0.3069387993611559, 0.8775947455223022, -0.1596176657282538, 0.9386858900328495]",[0.3879696621191764],[0.7188102202574699],[0.46019336064874083],[0.706327485574878],[0.2976755951098949],[11254.972538863449],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
32,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.24704013536108943]","[0.31215346382066284, 0.8748353129456681, -0.16012181936277609, 0.9476758835245114]",[0.3914083143117304],[0.7204877055744067],[0.46014386778546695],[0.70577729032336],[0.30256839064881985],[0.2684958705973141],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
33,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.2592671386137264]","[0.31012018807212366, 0.8765981013278483, -0.15879175533589002, 0.9407792131401649]",[0.39250009085942505],[0.7191722734732928],[0.46043233241314674],[0.7061307487234558],[0.3006382658024923],[0.2686528721235578],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
34,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.26379680947409917]","[0.3004121469420288, 0.8815582939245776, -0.15814428494120453, 0.9249146432191092]",[0.3870740945693485],[0.7159973717690105],[0.4605709787264087],[0.7071524017256473],[0.2917385156375205],[0.2641020733695401],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
35,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.2615321149373978]","[0.30424466349968826, 0.8789164745649601, -0.1595281998731792, 0.9345533652796247]",[0.38673709931997036],[0.7179743539809249],[0.46021549514500304],[0.7066015488876689],[0.29521804707930027],[11236.67148933858],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
36,"[1.0, 0.000989945202273176, 0.27712609970674484, 0.2478015599047228]","[0.3264856167399653, 0.867761592914908, -0.16066705697986758, 0.9698679878343178]",[0.4012494316111791],[0.7249346843285047],[0.46000856189790185],[0.7043062969634826],[0.31553162772316506],[0.276274207223055],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
37,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.2670110784064675]","[0.3138752373666984, 0.8759843522469375, -0.15688914843348706, 0.9404734773018986]",[0.39959165108979955],[0.719110200663592],[0.46090521928908224],[0.7060034264772526],[0.3040504007612126],[0.27300622709062633],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
38,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.2681506427464101]","[0.3107991848003673, 0.8770512352071449, -0.15751692277179957, 0.9379388801173374]",[0.3968206590224201],[0.7186383202779547],[0.4607268477532092],[0.7062181738110522],[0.3012124489320863],[0.27110573051266235],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
39,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.26853201454701725]","[0.3007804954703542, 0.8818041142512897, -0.15745270178724927, 0.9233737926591677]",[0.3893652577289062],[0.7157050897835986],[0.4607311478590218],[0.7071998510644281],[0.29205261050398096],[11250.100502316494],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
