,I,Z,C,O,F,I_in,C_bar,h,W
30,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.25727843746064843]","[0.3032266022453315, 0.8751789099410303, -0.1651712104116254, 0.9341052593991536]",[0.3836946049910207],[0.7178659369632557],[0.4588235978228786],[0.7058289078228439],[0.2943051554391301],[0.26269073459631725],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
31,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.2602615646339691]","[0.3059779768219806, 0.8739130171558692, -0.16507535698192577, 0.937780112568595]",[0.385459779180699],[0.718629218579934],[0.4588366204836058],[0.7055628101365294],[0.296796081060845],[11227.236237331308],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
32,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.24610010076276673]","[0.3111217992533343, 0.8711313327174911, -0.16559012698067754, 0.9467157807286466]",[0.3888312884653086],[0.7203049026604635],[0.45877925118882695],[0.7050054517101464],[0.3016105597229331],[0.26682127668094113],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
33,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.25801929659208767]","[0.3090860704540944, 0.8728953001614134, -0.16427604470008428, 0.939876389289221]",[0.3898801086151996],[0.718996133368411],[0.45906635386793193],[0.705360583558959],[0.29968593113338116],[0.2669609493771834],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
34,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.2623654371794037]","[0.29952510309651903, 0.877904040007779, -0.1635889276757299, 0.9240706547988367]",[0.3845407522791294],[0.7158293625241394],[0.45921639411758725],[0.7063943866117369],[0.2909203727510086],[0.2624698734433409],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
35,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.26005711547539784]","[0.3033246838109007, 0.8752471690271549, -0.16497794808802424, 0.9336715026511107]",[0.3842302555897442],[0.7177978526058092],[0.4588607276483501],[0.705839872391749],[0.29437446030425213],[11209.005685775326],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
36,"[1.0, 0.000989945202273176, 0.27712609970674484, 0.24679646001081398]","[0.3252123425859008, 0.8639737696245343, -0.16622795898791698, 0.96889419567998]",[0.39843791116134125],[0.7247509517584723],[0.45862101241611647],[0.7035147314179202],[0.3143644979824865],[0.2744541135599912],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
37,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.2656184565368964]","[0.31272260986216704, 0.8722454041394061, -0.16243585047506992, 0.9396363423052309]",[0.3967637518497631],[0.7189473151903663],[0.45952352767910476],[0.70522555113456],[0.3029925727279004],[0.27119878857544166],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
38,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.2666032988744702]","[0.3097090301000911, 0.8733288439765167, -0.16304854972693342, 0.9371214072633824]",[0.39403528402225385],[0.7184766128772385],[0.45935059793599786],[0.7054445910501927],[0.3002145389780385],[0.2693244470678716],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
39,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.26690770966119237]","[0.2998606414089766, 0.878137555229882, -0.16292777475115766, 0.9225867673179359]",[0.3867267678537837],[0.7155470307775931],[0.45936986671421054],[0.7064396525867871],[0.29120742479831957],[11221.290994206873],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
40,"[1.0, 0.0009898956975873594, 0.2595307917888563, 0.2529689636877141]","[0.3155760795562211, 0.8699902891757142, -0.1639136833535943, 0.948139974827299]",[0.3970002711082635],[0.7205885725577137],[0.45919729214479865],[0.7047686083039014],[0.3056574233269669],[0.27199139834000463],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
41,"[1.0, 0.000989945202273176, 0.27712609970674484, 0.2629782837212533]","[0.326389236443188, 0.8647928195519876, -0.16390897845196112, 0.963689490296602]",[0.40418665011650523],[0.7237802806159362],[0.4591585547416828],[0.7036741826620695],[0.3153541992381299],[0.2776176586852935],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
42,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.2729122536443276]","[0.31318372638047687, 0.8725663145159287, -0.16152725517214858, 0.9375970967009216]",[0.3997784815902873],[0.7185718295114132],[0.4597289759228261],[0.705286279411015],[0.30337376912746905],[0.27289985354585394],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
43,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.2704384900334685]","[0.30995622368737696, 0.8735008763891933, -0.16256147341671257, 0.9360282162449087]",[0.3956203762164393],[0.718274547246782],[0.4594610610960173],[0.7054772319283372],[0.3004199019144701],[11332.245797600302],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
44,"[1.0, 0.000989846192901543, 0.25806451612903225, 0.2558108576033155]","[0.31509493842780256, 0.8707156639609617, -0.16308649802560507, 0.9449868123907614]",[0.39897610771468733],[0.7199521151915085],[0.4594033562402105],[0.7049197032901138],[0.30522235219314087],[0.2729707814705009],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
