0,1,2,3
481,0,2017-03-27,1045.77002
482,0,2017-03-28,1047.150024
483,0,2017-03-29,1039.969971
484,0,2017-03-30,1026.430054
485,0,2017-03-31,1071.790039
486,0,2017-04-01,1080.5
487,0,2017-04-02,1102.170044
488,0,2017-04-03,1143.810059
489,0,2017-04-04,1133.25
490,0,2017-04-05,1124.780029
491,0,2017-04-06,1182.680054
492,0,2017-04-07,1176.900024
493,0,2017-04-08,1175.949951
494,0,2017-04-09,1187.869995
495,0,2017-04-10,1187.130005
496,0,2017-04-11,1205.01001
497,0,2017-04-12,1200.369995
498,0,2017-04-13,1169.280029
499,0,2017-04-14,1167.540039
500,0,2017-04-15,1172.52002
501,0,2017-04-16,1182.939941
502,0,2017-04-17,1193.910034
503,0,2017-04-18,1211.670044
504,0,2017-04-19,1210.290039
505,0,2017-04-20,1229.079956
506,0,2017-04-21,1222.050049
507,0,2017-04-22,1231.709961
508,0,2017-04-23,1207.209961
509,0,2017-04-24,1250.150024
510,0,2017-04-25,1265.48999
511,0,2017-04-26,1281.079956
512,0,2017-04-27,1317.72998
513,0,2017-04-28,1316.47998
514,0,2017-04-29,1321.790039
515,0,2017-04-30,1347.890015
516,0,2017-05-01,1421.599976
517,0,2017-05-02,1452.819946
518,0,2017-05-03,1490.089966
519,0,2017-05-04,1537.670044
520,0,2017-05-05,1555.449951
521,0,2017-05-06,1578.800049
522,0,2017-05-07,1596.709961
523,0,2017-05-08,1723.349976
524,0,2017-05-09,1755.359985
525,0,2017-05-10,1787.130005
526,0,2017-05-11,1848.569946
527,0,2017-05-12,1724.23999
528,0,2017-05-13,1804.910034
529,0,2017-05-14,1808.910034
530,0,2017-05-15,1738.430054
531,0,2017-05-16,1734.449951
532,0,2017-05-17,1839.089966
533,0,2017-05-18,1888.650024
534,0,2017-05-19,1987.709961
535,0,2017-05-20,2084.72998
536,0,2017-05-21,2041.199951
537,0,2017-05-22,2173.399902
538,0,2017-05-23,2320.419922
539,0,2017-05-24,2443.639893
540,0,2017-05-25,2304.97998
541,0,2017-05-26,2202.419922
542,0,2017-05-27,2038.869995
543,0,2017-05-28,2155.800049
544,0,2017-05-29,2255.610107
545,0,2017-05-30,2175.469971
546,0,2017-05-31,2286.409912
547,0,2017-06-01,2407.879883
548,0,2017-06-02,2488.550049
549,0,2017-06-03,2515.350098
550,0,2017-06-04,2511.810059
551,0,2017-06-05,2686.810059
552,0,2017-06-06,2863.199951
553,0,2017-06-07,2732.159912
554,0,2017-06-08,2805.620117
555,0,2017-06-09,2823.810059
556,0,2017-06-10,2947.709961
557,0,2017-06-11,2958.110107
558,0,2017-06-12,2659.629883
559,0,2017-06-13,2717.02002
560,0,2017-06-14,2506.370117
561,0,2017-06-15,2464.580078
562,0,2017-06-16,2518.560059
563,0,2017-06-17,2655.879883
564,0,2017-06-18,2548.290039
565,0,2017-06-19,2589.600098
566,0,2017-06-20,2721.790039
567,0,2017-06-21,2689.100098
568,0,2017-06-22,2705.409912
569,0,2017-06-23,2744.909912
570,0,2017-06-24,2608.719971
571,0,2017-06-25,2589.409912
572,0,2017-06-26,2478.449951
573,0,2017-06-27,2552.449951
574,0,2017-06-28,2574.790039
575,0,2017-06-29,2539.320068
576,0,2017-06-30,2480.840088
577,0,2017-07-01,2434.550049
578,0,2017-07-02,2506.469971
579,0,2017-07-03,2564.060059
580,0,2017-07-04,2601.639893
581,0,2017-07-05,2601.98999
582,0,2017-07-06,2608.560059
583,0,2017-07-07,2518.659912
584,0,2017-07-08,2571.340088
585,0,2017-07-09,2518.439941
586,0,2017-07-10,2372.560059
587,0,2017-07-11,2337.790039
588,0,2017-07-12,2398.840088
589,0,2017-07-13,2357.899902
590,0,2017-07-14,2233.340088
591,0,2017-07-15,1998.859985
592,0,2017-07-16,1929.819946
593,0,2017-07-17,2228.409912
594,0,2017-07-18,2318.879883
595,0,2017-07-19,2273.429932
596,0,2017-07-20,2817.600098
597,0,2017-07-21,2667.76001
598,0,2017-07-22,2810.120117
599,0,2017-07-23,2730.399902
600,0,2017-07-24,2754.860107
601,0,2017-07-25,2576.47998
602,0,2017-07-26,2529.449951
603,0,2017-07-27,2671.780029
604,0,2017-07-28,2809.01001
605,0,2017-07-29,2726.449951
606,0,2017-07-30,2757.179932
607,0,2017-07-31,2875.340088
608,0,2017-08-01,2718.26001
609,0,2017-08-02,2710.669922
610,0,2017-08-03,2804.72998
611,0,2017-08-04,2895.889893
612,0,2017-08-05,3252.909912
613,0,2017-08-06,3213.939941
614,0,2017-08-07,3378.939941
615,0,2017-08-08,3419.939941
616,0,2017-08-09,3342.469971
617,0,2017-08-10,3381.280029
618,0,2017-08-11,3650.620117
619,0,2017-08-12,3884.709961
620,0,2017-08-13,4073.26001
621,0,2017-08-14,4325.129883
622,0,2017-08-15,4181.930176
623,0,2017-08-16,4376.629883
624,0,2017-08-17,4331.689941
